                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93655,                 3.0115,                 1.1365,                0.26079,                0.33131,                0.27534,                0.20849,                0.90636,                 2.8973,                 1.1962,             0.00027471,             0.00027471,             0.00027471
                      2,                0.92124,                 2.2691,                 1.1247,                0.37686,                0.55206,                0.43786,                0.34388,                0.76706,                  2.254,                 1.0461,             0.00027895,             0.00027895,             0.00027895
