                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.73622,                0.65564,                  1.011,                0.81038,                0.77788,                0.83933,                0.68728,                0.69789,                0.76076,                0.96893,             0.00055261,             0.00055261,             0.00055261
                     37,                0.71323,                 0.6292,                0.99694,                0.80243,                0.76882,                0.82821,                0.67902,                0.72341,                0.83271,                0.98688,             0.00054437,             0.00054437,             0.00054437
                     38,                0.73085,                0.64391,                0.99714,                0.82818,                0.78617,                0.83251,                0.68992,                 0.6936,                0.75996,                 0.9675,             0.00053612,             0.00053612,             0.00053612
                     39,                0.73966,                0.65252,                 1.0095,                  0.779,                0.79274,                0.81548,                0.66356,                0.72421,                0.87221,                0.98565,             0.00052787,             0.00052787,             0.00052787
                     40,                0.72214,                0.65473,                0.99938,                0.80258,                0.80601,                0.83407,                0.68291,                0.69949,                0.77515,                0.97715,             0.00051963,             0.00051963,             0.00051963
                     41,                0.73297,                0.65162,                 1.0018,                0.84067,                0.78767,                0.84998,                0.70192,                0.70339,                0.78895,                0.96863,             0.00051138,             0.00051138,             0.00051138
                     42,                0.72371,                0.65553,                0.99534,                  0.821,                0.75285,                0.83752,                0.68865,                 0.7066,                 0.8361,                0.98403,             0.00050313,             0.00050313,             0.00050313
                     43,                0.70178,                0.63293,                0.99692,                0.80441,                0.78119,                 0.8415,                0.69683,                0.70405,                0.77399,                0.97582,             0.00049489,             0.00049489,             0.00049489
                     44,                0.72901,                0.62849,                0.99976,                0.82743,                0.80642,                0.84177,                0.69182,                0.68979,                0.79267,                0.96369,             0.00048664,             0.00048664,             0.00048664
                     45,                0.71776,                0.63832,                 1.0027,                0.82071,                0.80096,                0.84535,                0.69576,                0.70465,                0.78039,                0.97056,             0.00047839,             0.00047839,             0.00047839
                     46,                 0.6977,                 0.6125,                0.99662,                0.83403,                0.76726,                0.83194,                 0.6852,                0.69507,                0.80412,                0.97146,             0.00047015,             0.00047015,             0.00047015
                     47,                0.71131,                0.60075,                0.99325,                0.83195,                  0.784,                0.83229,                0.69037,                0.69118,                0.77264,                0.97131,              0.0004619,              0.0004619,              0.0004619
                     48,                0.72517,                0.62167,                 1.0022,                0.83458,                0.80306,                0.84983,                0.69473,                 0.6995,                0.76631,                0.97079,             0.00045365,             0.00045365,             0.00045365
